Doc	N	Score	Segment	
		----		
		----		
doc110	0	----	Сирия уничтожила оборудование для химоружия	
doc110	0	----	Syria destroyed equipment for chemical weapons	
		----		
doc110	0	4	syria destroyed equipment for химоружия__khimoruzhiya	s5-en
doc110	0	8	syria destroyed equipment for chemo-weapons	s6-en
doc110	0	12	Syria Destroys Chemical Weaponry Equipment	s2-en
doc110	0	10	Syria destroyed equipment for chemical weapons	s3-en
doc110	0	4	syria destroyed equipment for химоружия__khimoruzhiya	en
doc110	0	12	Syria destroyed equipment for making chemical weapons	s0-en
doc110	0	10	Syria destroyed chemical weapon equipment	s4-en
doc110	0	10	Syria destroyed equipment for chemical weapons	s1-en
		----		
		----		
		----		
doc110	1	----	Сирия уничтожила все заявленные мощности по производству химического оружия , признала Организация по запрещению химического оружия .	
doc110	1	----	Syria destroyed all declared capacities for production of chemical weapons, acknowledged the Organization for the Prohibition of Chemical Weapons.	
		----		
doc110	1	8	Syria destroyed all the declared opportunities for production of chemical weapons, the Organization for the Prohibition of Chemical Weapons admitted.	s3-en
doc110	1	10	Syria destroyed all the declared facilities for production of chemical weapons, Organization for the prohibition of chemical weapons admitted.	s2-en
doc110	1	4	Syria destroyed all the declared facilities for the production of chemical weapons , and was recognized by the organization for the prohibition of chemical weapons .	s1-en
doc110	1	6	syria has destroyed all the declared chemical weapon production facilities , recognized by the organization for the prohibition of chemical weapons .	s5-en
doc110	1	6	syria destroyed all the declared facilities for production of chemical weapons , recognized by the organization for the prohibition of chemical weapons .	s6-en
doc110	1	8	Syria destroyed all the declared facilities for production of chemical weapons, as recognized by the Organization for the Prohibition of Chemical Weapons.	s0-en
doc110	1	6	syria destroyed all the declared facilities for production of chemical weapons , recognized by the organization for the prohibition of chemical weapons .	en
doc110	1	12	The organization for the prohibition of chemical weaponsthe recognized that Syria destroyed all the declared facilities of chemical weapons production.	s4-en
		----		
		----		
		----		
doc110	2	----	Этот первый этап разоружения Дамаск завершил за день до установленного срока .	
doc110	2	----	This first phase of disarmament Damascus completed the day before the established deadline.	
		----		
doc110	2	12	Damascus finished this first stage of disarmament one day before the deadline.	s2-en
doc110	2	10	Damascus finished the first stage of the disarmament the day before the deadline.	s0-en
doc110	2	6	this is the first stage of disarmament Damascus finished the day before the deadline .	s6-en
doc110	2	6	This first stage of disarming Damascus was finished the day before the deadline .	s1-en
doc110	2	10	This first disarmament stage Damascus finished the day before the deadline.	s3-en
doc110	2	6	this first stage of the disarmament of damascus finished one day before the deadline .	s5-en
doc110	2	4	this first stage of disarmament damascus finished the day before the deadline .	en
doc110	2	12	Damascus finished the first step of diarmament the day before the deadline .	s4-en
		----		
		----		
		----		
doc110	3	----	До 1 ноября Сирия должна была уничтожить производственные и иные вспомогательные объекты , предназначенные для подготовки боевых отравляющих веществ к применению , передает Би-би-си .	
doc110	3	----	Before November 1 Syria had to destroy production and other auxiliary facilities intended for preparing chemical warfare agents for use, reports the BBC.	
		----		
doc110	3	8	Syria was to destroy production and auxilliary facilities intended for preparation of combat toxic substances, BBC reports.	s2-en
doc110	3	6	Before November 1st,  Syria was to destroy the manufacturing and other auxiliary objects intended for combat training in the use of toxic substances , reports the BBC .	s1-en
doc110	3	6	By 1 November Syria was to destroy the manufacturing and other auxiliary objects intended for combat training in the use of toxic substances, reports the BBC.	s0-en
doc110	3	6	syria was to destroy the manufacturing and other auxiliary objects intended for combat training in the use of toxic substances by november 1st  , reports bbc .	s5-en
doc110	3	6	until 1 november syria was to destroy the manufacturing and other auxiliary objects intended for combat training in the use of toxic substances , reports the bbc .	en
doc110	3	8	BBC reports that Syria had to destroy the manufacturing and other auxiliary objects, that are intended for preparation of toxic substances, by 1st of november.	s4-en
doc110	3	8	By November 1st, Syria was to destroy the manufacturing and other auxiliary facilities intended for use of  toxic substance , BBC reports.	s3-en
doc110	3	6	Before 1 of november syria was to destroy the manufacturing and other auxiliary objects intended for combat training in the use of toxic substances , reports the bbc .	s6-en
		----		
		----		
		----		
doc110	4	----	Уничтожение самих запасов отравляющих веществ или их химических компонентов должно быть завершено к середине 2014 года .	
doc110	4	----	Destruction of the stocks of poisonous substances themselves or their chemical components must be completed by the middle of 2014.	
		----		
doc110	4	10	the destruction of the stockpile of toxic substances or their chemical components should be completed by the middle of 2014 .	en
doc110	4	10	The destruction of the stockpile of toxic substances or their chemical components should be completed by the middle of 2014 .	s4-en
doc110	4	10	The destruction of the stockpile of toxic substances or their chemical components should be completed by the middle of 2014.	s0-en
doc110	4	10	the destruction of the stockpile of toxic substances or their chemical components should be completed by the middle of 2014 .	s6-en
doc110	4	12	The destruction of toxic substances themselves or their chemical components must be completed by the middle of 2014 .	s3-en
doc110	4	10	The destruction of the toxic substance stockpile and their chemical components should be completed by the middle of 2014 .	s1-en
doc110	4	8	Destruction of toxic substances supplies and their chemical components must be completed by the middle of 2014.	s2-en
doc110	4	8	the destruction of the stockpiles of toxic substances or their chemical components should be completed by mid-2014 .	s5-en
		----		
		----		
		----		
doc110	5	----	По словам представителя ОЗХО , в настоящее время отравляющие вещества находятся в опечатанных хранилищах .	
doc110	5	----	According to a representative of OPCW, currently the poisonous agents are located in sealed depots.	
		----		
doc110	5	6	According to the representative of the OZHO , currently toxic substances are in sealed repositories.	s3-en
doc110	5	6	According to the representative of the OPCW, currently toxic substances are in Opechatannykh repositories.	s0-en
doc110	5	6	According to the representative of the OPCW,  toxic substances are currently in опечатанных__opechatannykh repositories .	s1-en
doc110	5	6	according to the representative of the opcw , currently toxic substances are in опечатанных__opechatannykh repositories .	en
doc110	5	8	According to the representative of the opcw , currently toxic substances are located in locked repositories .	s4-en
doc110	5	6	according to representatives from opcw , currently toxic substances are in опечатанных__opechatannykh repositories .	s5-en
doc110	5	8	according to the representative of the opcw , currently toxic substances are in sealed repositories .	s6-en
doc110	5	12	According to the representative of the OPCW, currently toxic substances are stored in sealed repositories .	s2-en
		----		
		----		
		----		
doc110	6	----	Международные инспекторы отправились в Сирию после того , как на окраине Дамаска 21 августа в ходе химической атаки погибли , по данным США , более 1400 человек .	
doc110	6	----	International inspectors headed to Syria after, according to the U.S., more than 1,400 people died during a chemical attack on the outskirts of Damascus on August 21.	
		----		
doc110	6	8	international inspectors went to syria after more than 1,400 people where killed in a chemical attack on the outskirts of damascus, according to the united states.	s5-en
doc110	6	8	International inspectors went to Syria after, according to the United States, more than 1,400 people were killed by on 21 August by chemical attacks on the outskirts of Damascus.	s0-en
doc110	6	12	International inspectors went to Syria after August 21 when on the outskirts of Damascus more than 1400 people, as reported by the US, were killed in a chemical attack.	s2-en
doc110	6	8	International inspectors went to Syria after in the Damascus vicinity on August 21st more than 1,400 people were killed in the chemical attack were killed , according to the United States.	s3-en
doc110	6	6	international inspectors went to syria after on the outskirts of damascus on 21 august in the chemical attack were killed , according to the united states , more than 1,400 people .	en
doc110	6	6	international inspectors went to syria after on outskirts of damascus on 21 august in the chemical attack were killed , according to the united states , more than 1,400 people .	s6-en
doc110	6	8	International inspectors went to the outskirts of Damascus, Syria on August 21st after the chemical attack, which killed more than 1,400 people according to the United States.	s1-en
doc110	6	6	International inspectors went to Syria after the chemical attack on the Damascus outskirts were according to the US more than 1400 people got killed .	s4-en
		----		
		----		
		----		
doc110	7	----	Главной задачей инспекторов было не терять времени - чтобы не позволить сирийским властям произвести больше химоружия - и уничтожить инфраструктуру для смешивания химикатов и снаряжения боеприпасов .	
doc110	7	----	The main objective of the inspectors was to not lose time - in order to not allow Syrian authorities to produce more chemical weapons - and destroy the infrastructure for mixing chemicals and loading ammunition.	
		----		
doc110	7	4	the main task of the inspectors was not lose time, to not allow syrian authorities to produce more  chemo-weapons and destroy infrastructure equipment for mixing chemicals and munitions .	s6-en
doc110	7	8	The main task of the inspectors was not to waste time and to destroy infrastructure for mixing chemicals and munitions in order to not allow Syrian authorities to produce more chemical weapons.	s3-en
doc110	7	4	the main task of the inspectors was not lose time to not allow syrian authorities to produce more химоружия__khimoruzhiya - and destroy infrastructure equipment for mixing chemicals and munitions .	en
doc110	7	10	The main task of the inspectors was to prevent Syrian authorities from producing more chemical weapons, and to destroy  equipment for mixing chemicals and munitions .	s1-en
doc110	7	8	The main task of the inspectors was to stop Syrian authorities from producing chemical weapon and to destroy  mixing chemicals and munitions infrastructure .	s4-en
doc110	7	12	The main task of the inspectors was to act quickly in order to prevent Syrian authorities from producing more chemical weapons - and destroy the infrastructure for mixing chemicals and equipping munitions .	s2-en
doc110	7	10	The main task of the inspectors was to not give Syrian authorities time to produce more chemical weapons and to destroy infrastructure equipment for mixing chemicals and munitions.	s0-en
doc110	7	6	The inspectors' main task was to not allow syrian authorities to produce more химоружия__khimoruzhiya and to destroy equipment for mixing chemicals and munitions .	s5-en
		----		
		----		
		----		
doc110	8	----	За этими производственными мощностями теперь будут внимательно наблюдать , чтобы не допустить их починки .	
doc110	8	----	Now they will attentively observe these production capacities in order to not allow their repair.	
		----		
doc110	8	8	Inspectors will now be carefully watching these manufacturing facilities to prevent their repair.	s0-en
doc110	8	10	Now these manufacturing facilities will be under careful watch for preventing their repair .	s4-en
doc110	8	8	These manufacturing facilities will now be watched carefully to prevent their repair.	s3-en
doc110	8	8	these manufacturing facilities will now be watched carefully to prevent their repair.	s5-en
doc110	8	10	These manufacturing facilities will now be monitored carefully to prevent their repair .	s2-en
doc110	8	6	These manufacturing facilities will now be carefully watched to prevent their mistakes.	s6-en
doc110	8	8	These manufacturing facilities will now be watched carefully to prevent their repair .	s1-en
doc110	8	2	behind these manufacturing facilities will now be watching carefully to prevent their repair .	en
		----		
		----		
		----		
doc110	9	----	Следующая веха - середина ноября : к этому времени ОЗХО и сирийцы должны согласовать детальный план уничтожения уже имеющихся запасов отравляющих веществ .	
doc110	9	----	The next milestone - mid-November: by that time the OPCW and Syrians must agree to a detailed plan for destroying the already existing stocks of poisonous substances.	
		----		
doc110	9	10	The next milestone is the middle of November: by this time the OPCW and Syria must agree to a detailed plan of destruction of existing stocks of toxic substances.	s0-en
doc110	9	10	the next milestone is the middle of november : by this time the opcw and syria must agree to a detailed plan of destruction of existing stocks of toxic substances .	en
doc110	9	12	The next milestone is in the middle of November. By this time, the OPCW and Syria must agree to a detailed plan for the destruction of existing stocks of toxic substances.	s1-en
doc110	9	10	the next milestone is the middle of november : by this time the opcw and syria must agree to a detailed plan of destruction of existing stocks of toxic substances .	s6-en
doc110	9	8	The next milestone is the middle of November, by which time the OPCW and Syria must agree on a detailed plan of destruction of existing stocks of toxic substances.	s2-en
doc110	9	8	The next milestone is the middle of november : by this time the opcw and syria must agree to a detailed plan of destruction of existing stocks of toxic substances .	s4-en
doc110	9	8	the next milestone is the middle of november. by this time the opcw and syria must agree to a detailed plan for the destruction of existing stockpiles of toxic substances .	s5-en
doc110	9	6	The next milestone is the middle of November: by this time the OZHO and Syria must agree to a detailed plan of destruction of existing stocks of toxic substances.	s3-en
		----		
		----		
		----		
doc110	10	----	Вопросов здесь много .	
doc110	10	----	There are many questions here.	
		----		
doc110	10	8	A lot of questions exist.	s4-en
doc110	10	10	There are a lot of questions here.	s2-en
doc110	10	6	a lot of questions here .	en
doc110	10	10	There are many questions here .	s1-en
doc110	10	6	A lot of questions here.	s0-en
doc110	10	10	There are many questions here.	s5-en
doc110	10	10	There are a lot of questions here.	s3-en
doc110	10	10	There are a lot of questions here.	s6-en
		----		
		----		
		----		
doc110	11	----	Где они будут уничтожаться ?	
doc110	11	----	Where will they be destroyed?	
		----		
doc110	11	10	Where will they get destroyed ?	s4-en
doc110	11	10	Where will they be destroyed?	s3-en
doc110	11	4	Where will they be removed ?	s1-en
doc110	11	8	Where will they be destructed?	s2-en
doc110	11	4	where will they be removed ?	s5-en
doc110	11	4	where will they be removed ?	en
doc110	11	4	Where will they be removed?	s0-en
doc110	11	10	where will they be destroyed ?	s6-en
		----		
		----		
		----		
doc110	12	----	Кто предоставит для этого оборудование ?	
doc110	12	----	Who will provide equipment for this?	
		----		
doc110	12	10	who will provide the equipment for this ?	en
doc110	12	10	Who will provide the equipment for it?	s2-en
doc110	12	10	Who will provide the equipment for this ?	s1-en
doc110	12	10	who will provide the equipment for this ?	s6-en
doc110	12	8	who will provide the equipment?	s5-en
doc110	12	10	Who will provide the equipment for this?	s3-en
doc110	12	10	Who will provide the equipment for this?	s0-en
doc110	12	10	Who will provide the equipment for doing so ?	s4-en
		----		
		----		
		----		
doc110	13	----	Все сирийские заявления будут тщательно проверяться западными разведслужбами .	
doc110	13	----	All Syrian declarations will be thoroughly checked by western intelligence agencies.	
		----		
doc110	13	8	All Syrian statements will be carefully checked by western auditors .	s1-en
doc110	13	6	all syrian statements will be carefully checked by western разведслужбами__razvedsluzhbami .	s5-en
doc110	13	6	Western  ...........will carefully check all Syrian statements.	s4-en
doc110	13	6	All Syrian statements will be carefully checked by western razvedsluzhbami.	s0-en
doc110	13	10	All Syrian statements will be carefully checked by western intelligence services.	s2-en
doc110	13	10	All Syrian statements will be carefully checked by western inlelligence.	s3-en
doc110	13	6	all syrian statements will be carefully checked by western разведслужбами__razvedsluzhbami .	en
doc110	13	8	all syrian statements will be carefully checked by western monitoring services .	s6-en
		----		
		----		
		----		
doc110	14	----	Они с готовностью посоветуют инспекторам новые объекты для проверки , если будут основания подозревать , что Дамаск не до конца откровенен .	
doc110	14	----	They will readily recommend to the inspectors new facilities for inspection if there will be reasons to suspect that Damascus is not fully forthcoming.	
		----		
doc110	14	10	They will readily advise inspectors on new facilities to check should there be any grounds to suspect that Damascus is not fully candid.	s2-en
doc110	14	6	they will readily suggest to inspectors new ways to test if there are grounds to suspect that damascus is not fully candid .	s6-en
doc110	14	4	they readily 'll inspectors new objects to test if there are grounds to suspect that damascus is not fully candid .	s5-en
doc110	14	6	They will readily present inspectors with new objects to test if there are grounds on which to suspect  Damascus is not fully candid .	s1-en
doc110	14	6	If they will suspect that Daumask is not fully candid they will offer new checking process	s4-en
doc110	14	6	The inspectors are ready to test new substances to see if there are grounds to suspect that Damascus is not being fully candid.	s0-en
doc110	14	4	they readily 'll inspectors new objects to test if there are grounds to suspect that damascus is not fully candid .	en
doc110	14	8	They will readily point out to inspectors new objects to test if there are grounds to suspect that Damascus is not fully compliant.	s3-en
		----		
		----		
		----		
doc110	15	----	США полагают , что этот обстрел был проведен регулярными войсками .	
doc110	15	----	The U.S. believes that this bombardment was conducted by regular troops.	
		----		
doc110	15	6	The united states believed that the shelling was held by regular troops .	s4-en
doc110	15	8	the united states believes that the shelling was done by regular troops .	s5-en
doc110	15	6	The United States believed that the shelling was held by regular troops.	s3-en
doc110	15	4	the united states believed that the shelling was held regular troops .	en
doc110	15	4	The United States believed that the shelling was aimed at regular troops .	s1-en
doc110	15	6	The United States believed that the shelling was being done by regular troops.	s0-en
doc110	15	10	The United States believe that the attack was performed by regular troops.	s2-en
doc110	15	8	the united states assumed that the shelling was conducted by regular troops .	s6-en
		----		
		----		
		----		
doc110	16	----	Сирия и Россия настаивают , что это дело рук сирийских повстанцев .	
doc110	16	----	Syria and Russia insist that it is the work of Syrian rebels.	
		----		
doc110	16	10	syria and russia insist that this was the work of the syrian rebels .	s6-en
doc110	16	10	Syria and Russia insist that this was the work of Syrian rebels .	s1-en
doc110	16	10	Syria and Russia insist that this was the work of the Syrian rebels.	s3-en
doc110	16	10	Syria and Russia insist that this was the work of the syrian rebels .	s4-en
doc110	16	10	Syria and Russia insist that this was the work of the Syrian rebels.	s0-en
doc110	16	10	syria and russia insist that it was the work of  syrian rebels .	s5-en
doc110	16	10	syria and russia insist that this was the work of the syrian rebels .	en
doc110	16	10	Syria and Russia insist that it was the work of the Syrian rebels.	s2-en
		----		
		----		
		----		
doc110	17	----	Мировое сообщество требовало от сирийского руководства - в соответствии с договоренностью , достигнутой при посредничестве России , - уничтожить или привести в нерабочее состояние все мощности для производства снарядов , отравляющих газов и жидкостей и для заполнения снарядов этими веществами .	
doc110	17	----	The world community required from Syrian leadership - in accordance with the agreement achieved through the mediation of Russia, - to destroy or disable all capacities for the production of rounds, poisonous gases and liquids and for loading rounds with those substances.	
		----		
doc110	17	12	According to the agreement mediated by Russia , the world community demanded from the Syrian leadership to destroy or render inoperable all opportunities for the production of shells, toxic gases, and liquids for filling shells with these substances.	s3-en
doc110	17	6	the global community has demanded that the syrian leadership act in accordance with the agreement reached by mediated by russia ,  to destroy or lead in the disabling all facilities for the production of shells , toxic gases and liquids and shells for filling in these substances .	s5-en
doc110	17	6	In accordance with the agreement, reached by Russian mediation, the world community demanded from the syrian leadership to destroy or lead in inoperable all capacity for the production of shells , toxic gases, liquids and shells for filling in these substances .	s4-en
doc110	17	6	the world community has demanded from the syrian leadership, in accordance with the agreement reached and mediated by russia , is to destroy or bring to inoperable conditions all capacity for the production of shells , toxic gases and liquids and shells for filling in these substances .	s6-en
doc110	17	6	The world community demanded that the Syrian leadership, as was agreed with help of Russian mediation, destroy or lead in inoperable all facilities for the production of shells, toxic gases and liquids, as well as facilities for filling the shells with those substances.	s2-en
doc110	17	4	the world community has demanded from the syrian leadership is in accordance with the agreement reached by mediated by russia , is to destroy or lead in inoperable all capacity for the production of shells , toxic gases and liquids and shells for filling in these substances .	en
doc110	17	4	The world community has demanded from the Syrian leadership that it is in accordance with the agreement reached and mediated by Russia which is to destroy or make inoperable all capacity for the production of shells, toxic gases and liquids and shells for filling in these substances.	s0-en
doc110	17	4	The world community has demanded that Syrian leadership reach an accordance with Russia, and to destroy or make inoperable all ability to produce shells, toxic gases, and liquids for filling in these substances .	s1-en
		----		
		----		
		----		
doc110	18	----	Теперь , когда этот этап пройден , следующим шагом должно стать уничтожение уже имеющегося у сирийской армии химоружия .	
doc110	18	----	Now, when this phase is over, the next step must be to destroy the chemical weapons already existing in the Syrian army.	
		----		
doc110	18	6	Now, when this phase is complete, the next step must be to destroy the existing the Syrian army chemical weapons.	s0-en
doc110	18	8	now , when this phase passed , the next step must be to destroy existing chemo-weapons possesed by the Syrian army .	s6-en
doc110	18	4	now , when this phase passed , the next step must be to destroy existing the syrian army химоружия__khimoruzhiya .	en
doc110	18	8	The next step must be the destruction of chemical weapon that Syrian army has .	s4-en
doc110	18	10	Now , when this phase has passed, the next step must be to destroy the chemical weapons that the Syrian army has.	s3-en
doc110	18	8	Now, since this phase is over, the next step must be to destroy  the existing Syrian army chemical weapons.	s1-en
doc110	18	8	Now that this stage is passed, the next step must be the destruction of existing chemical weapons existing in Syria.	s2-en
doc110	18	4	when this phase passed , the next step must be to destroy the existing syrian army химоружия__khimoruzhiya .	s5-en
		----		
		----		
		----		
doc110	19	----	Предполагается , что в этом арсенале может быть более 1000 тонн нервно-паралитических отравляющих веществ , кожно-нарывного горчичного газа и других запрещенных химических веществ , хранящихся в нескольких десятках разных мест .	
doc110	19	----	It is assumed that in this arsenal may be more than 1,000 tons of neuroparalytic poisonous substances, skin blistering mustard gas and other banned chemical substances stored in several dozen different places.	
		----		
doc110	19	6	it is assumed that this arsenal could have more than 1,000 tons of toxic substances кожно-нарывного__kozhno-naryvnogo paralizing, mustard gas and other banned chemicals stored in several dozen different places.	s3-en
doc110	19	6	it is assumed that this could an arsenal of more than 1,000 tons of toxic substances кожно-нарывного__kozhno-naryvnogo нервно-паралитических__nervno-paraliticheskikh , mustard gas and other banned chemicals stored in several dozen different locations .	s5-en
doc110	19	10	it is assumed that in this arsenal could be more than 1,000 tons of toxic substances, skin penatrating chemicals, mustard gas and other banned chemicals stored in several dozen different places .	s6-en
doc110	19	6	It is assumed that this arsenal could be more than 1,000 tons of toxic substances including kozhno-naryvnogo, nerve gas, mustard gas and other banned chemicals stored in several dozen different places.	s0-en
doc110	19	6	It is assumed that this could be arsenal with more than 1,000 tons of toxic substances кожно-нарывного__kozhno-naryvnogo нервно-паралитических__nervno-paraliticheskikh , mustard gas and other banned chemicals stored in several dozen different places .	s4-en
doc110	19	4	it is assumed that this could be arsenal more than 1,000 tons of toxic substances кожно-нарывного__kozhno-naryvnogo нервно-паралитических__nervno-paraliticheskikh , mustard gas and other banned chemicals stored in several dozen different places .	en
doc110	19	10	It is assumed that the arsenal might contain more than 1,000 tons of toxic substances including paralytic substances, mustard gas and other prohibited chemicals stored in several dozen different places.	s2-en
doc110	19	10	It is assumed that this arsenal could contain more than 1,000 tons of toxic substances including nerve paralyzers, mustard gas, and other banned chemicals stored in several dozen different places .	s1-en
		----		
		----		
		----		
doc110	20	----	Для его уничтожения необходимо , чтобы ОЗХО и сирийские власти для начала согласовали график действий - на это отводится две недели .	
doc110	20	----	For its destruction it is essential that the OPCW and Syrian authorities for a start agree on a schedule of actions - two weeks are allocated for this.	
		----		
doc110	20	10	To destruct them it is necessary for the OPCW and the Syrian authorities to agree upon the timetable of activities. Two weeks were allocated for that .	s2-en
doc110	20	6	The opcw and syrian authorities have agreed upon a two week timetable .	s5-en
doc110	20	6	For the destruction of the above arsenal, the OZHO and the Syrian authorities have two weeks to agree on their timetable of action.	s3-en
doc110	20	4	for its destruction it is necessary to the opcw and the syrian authorities for the agreed timetable of action - it is two weeks .	s6-en
doc110	20	4	It is necessary for the OPCW and the Syrian authorities to stay within the agreed timetable of action of two weeks for its destruction .	s1-en
doc110	20	4	for its destruction is necessary to the opcw and the syrian authorities for the agreed timetable of action - it is two weeks .	en
doc110	20	4	For its destruction it is necessary that opcw and the Syrian authorities for the agreed timetable of action - it is two weeks .	s4-en
doc110	20	4	The agreed upon time table between the OPCW and the Syrian authorities for its destruction is two weeks.	s0-en
		----		
		----		
		----		
doc110	21	----	Руководитель полевых операций ОЗХО Джерри Смит заявил Би-би-си , что его инспекторы " лично наблюдали за уничтожением оборудования " .	
doc110	21	----	The supervisor of field operations of the OPCW Jerry Smith told the BBC that his inspectors "personally observed the destruction of equipment".	
		----		
doc110	21	8	the head of the opcw field operations jerry smith told the bbc that his inspectors " personally observed the destruction of the equipment .	s5-en
doc110	21	10	The head of the OPCW field operations, Jerry Smith, told the BBC that his inspectors "personally watched the destruction of the equipment	s0-en
doc110	21	10	The head of the OZHO field operations Jerry Smith told the BBC that his inspectors "personally watched the destruction of the equipment."	s3-en
doc110	21	10	The head of the opcw field operations Jerry Smith told the BBC that his inspectors " personally watched the destruction of the equipment ."	s4-en
doc110	21	8	the head of the opcw field operations jerry smith told the bbc that his inspectors " personally watched the destruction of the equipment .	s6-en
doc110	21	8	the head of the opcw field operations jerry smith told the bbc that his inspectors " personally watched the destruction of the equipment .	en
doc110	21	10	Head of Field Operations with OPCW, Jerry Smith, told the BBC that his inspectors "monitored the destruction of the equipment personally."	s2-en
